spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
0PeOaoVC3D2rIquPiraCVm,2019-11-11 16:54:40,android,301600,Prismism,Keuning,Prismism,trackdone,trackdone,TRUE,FALSE
0U6h6BIv3HKpkp3ZKH9wCk,2019-11-14 07:35:13,android,178,Back In Brazil,Paul McCartney,Egypt Station,fwdbtn,fwdbtn,TRUE,FALSE
1yKQBy7olMIqRpziyAzf8c,2019-11-23 01:46:07,android,227933,Working Class Hero - Remastered 2010,John Lennon,Plastic Ono Band,fwdbtn,trackdone,TRUE,FALSE
5fSDXbY8o9pA3TKwAbfwML,2019-11-28 06:44:16,android,1197,Mi Primer Millon,Bacilos,Caraluna,fwdbtn,fwdbtn,TRUE,FALSE
7EUcOIbJSePmXGvAe7G79C,2019-12-10 05:23:55,android,217440,Black Treacle,Arctic Monkeys,Suck It and See,trackdone,trackdone,TRUE,FALSE
7wMaLtWGYFmzWdKNi5daj5,2019-12-21 22:09:00,android,219093,Walk and Talk It,Lou Reed,Lou Reed,trackdone,trackdone,TRUE,FALSE
4b9bcST8vgGsTcuog61NHE,2019-12-30 15:50:28,android,269192,Me Voy a Tomar la Noche (Choster + Bzars Remix),Los Claxons,Me Voy a Tomar la Noche (Choster + Bzars Remix),clickrow,trackdone,TRUE,FALSE
0INUNNYfsp4qr6kJdY46mY,2020-01-07 02:37:44,android,127493,Travelin' Band,Creedence Clearwater Revival,Cosmo's Factory,trackdone,trackdone,TRUE,FALSE
6wfK1R6FoLpmUA9lk5ll4T,2020-01-21 05:40:13,android,1507,Please Mister Postman - Remastered 2009,The Beatles,With The Beatles,fwdbtn,fwdbtn,TRUE,FALSE
6Tvzf3VEi16JMhAgOwdt2y,2020-01-24 01:06:48,android,219440,Birds,Imagine Dragons,Origins,backbtn,trackdone,TRUE,FALSE
68KdvPllp9Pug8ZG6AByFY,2020-01-30 00:27:22,android,581066,"Gravity - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,trackdone,trackdone,TRUE,FALSE
7J06GPr8b6A0zRHTZhah6s,2020-02-07 02:42:14,android,229280,Highway 20 Ride,Zac Brown Band,The Foundation,fwdbtn,trackdone,TRUE,FALSE
1OJkKHmXsZVKtWlECdpDAe,2020-02-22 06:59:57,android,1459,Sé Que Te Duele,Alejandro Fernández,Rompiendo Fronteras,fwdbtn,fwdbtn,TRUE,FALSE
1N62wozuHCvczCkY4QidpP,2020-02-29 02:35:14,android,1326,Over My Head (Cable Car),The Fray,How To Save A Life,fwdbtn,fwdbtn,TRUE,FALSE
5G1sTBGbZT5o4PNRc75RKI,2020-03-01 01:49:22,android,0,Lonely Boy,The Black Keys,El Camino,fwdbtn,fwdbtn,TRUE,FALSE
4SBHuF59wYA32i3O1Yfv1L,2020-03-09 19:11:00,web player,197745,I Love Penny Sue,Daniel May,Midnight in Paris (Music from the Motion Picture),trackdone,trackdone,FALSE,FALSE
2b8fOow8UzyDFAE27YhOZM,2020-03-16 16:12:07,cast to device,70359,Memories,Maroon 5,Memories,clickrow,endplay,FALSE,FALSE
2VZ3ibuhicmovAqEMIFdJW,2020-03-19 23:14:11,cast to device,218894,This Is Your Life,The Killers,Day & Age - Bonus Tracks,trackdone,trackdone,FALSE,FALSE
2aZ2Co4NeQRsqWcU930zHT,2020-03-25 21:44:12,android,6280,Shot At The Night,The Killers,Direct Hits,clickrow,remote,FALSE,FALSE
70wYA8oYHoMzhRRkARoMhU,2020-03-31 17:45:24,cast to device,219985,When You Were Young,The Killers,Sam's Town,trackdone,trackdone,FALSE,FALSE
5y2KMaT44umaDJWXJHcYjN,2020-04-03 17:25:48,android,17767,Do You Hear the People Sing?,Les Misérables - 10th Anniversary Concert Cast,Les Misérables (In Concert at the Royal Albert Hall),playbtn,remote,TRUE,FALSE
1RywwImkBFUEVcRTBmw7vL,2020-04-09 13:50:01,cast to device,157610,The Age of Worry,John Mayer,Born and Raised,trackdone,trackdone,FALSE,FALSE
2u2WL5N3KnQnykOZi3fxL6,2020-04-13 15:09:16,cast to device,238995,Swallowed in the Sea,Coldplay,X&Y,clickrow,trackdone,FALSE,FALSE
0KogQrSowDnZoU8GSpaxkj,2020-04-15 14:44:59,cast to device,106400,Little Child - Remastered 2009,The Beatles,With The Beatles,trackdone,trackdone,FALSE,FALSE
7nemcVsXVFZF01iqpIIo2Y,2020-04-19 22:30:17,android,301226,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,trackdone,trackdone,TRUE,FALSE
